listing_type,id,version,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31,2026_04_01,2026_04_02,2026_04_03,2026_04_04,2026_04_05,2026_04_06,2026_04_07,2026_04_08,2026_04_09,2026_04_10,2026_04_11,2026_04_12,2026_04_13,2026_04_14,2026_04_15,2026_04_16,2026_04_17,2026_04_18,2026_04_19,2026_04_20,2026_04_21,2026_04_22,2026_04_23,2026_04_24,2026_04_25,2026_04_26,2026_04_27,2026_04_28,2026_04_29,2026_04_30,2026_05_01,2026_05_02,2026_05_03,2026_05_04,2026_05_05,2026_05_06,2026_05_07,2026_05_08,2026_05_09,2026_05_10,2026_05_11,2026_05_12,2026_05_13,2026_05_14,2026_05_15,2026_05_16,2026_05_17,2026_05_18,2026_05_19,2026_05_20,2026_05_21,2026_05_22,2026_05_23,2026_05_24,2026_05_25,2026_05_26,2026_05_27,2026_05_28,2026_05_29,2026_05_30,2026_05_31,2026_06_01,2026_06_02,2026_06_03,2026_06_04,2026_06_05,2026_06_06,2026_06_07,2026_06_08,2026_06_09,2026_06_10,2026_06_11,2026_06_12,2026_06_13,2026_06_14,2026_06_15,2026_06_16,2026_06_17,2026_06_18,2026_06_19,2026_06_20,2026_06_21,2026_06_22,2026_06_23,2026_06_24,2026_06_25,2026_06_26,2026_06_27,2026_06_28,2026_06_29,2026_06_30,2026_07_01,2026_07_02,2026_07_03,2026_07_04,2026_07_05,2026_07_06,2026_07_07,2026_07_08,2026_07_09,2026_07_10,2026_07_11,2026_07_12,2026_07_13,2026_07_14,2026_07_15,2026_07_16,2026_07_17,2026_07_18,2026_07_19,2026_07_20,2026_07_21,2026_07_22,2026_07_23,2026_07_24,2026_07_25,2026_07_26,2026_07_27,2026_07_28,2026_07_29,2026_07_30,2026_07_31,2026_08_01,2026_08_02,2026_08_03,2026_08_04,2026_08_05,2026_08_06,2026_08_07,2026_08_08,2026_08_09,2026_08_10,2026_08_11,2026_08_12,2026_08_13,2026_08_14,2026_08_15,2026_08_16,2026_08_17,2026_08_18,2026_08_19,2026_08_20,2026_08_21,2026_08_22,2026_08_23,2026_08_24,2026_08_25,2026_08_26,2026_08_27,2026_08_28,2026_08_29,2026_08_30,2026_08_31,2026_09_01,2026_09_02,2026_09_03,2026_09_04,2026_09_05
map,aachen,1.0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,11,5,0
map,abu-dhabi,1.0.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,4,3,2,2,4,0,1,16,2,0,0,3,0
map,akron-oh,v1.0.0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,3,1,2,0,1,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,2
map,albany,1.0.0,240,0,0,0,0,0,0,0,6,10,2,10,4,7,2,3,3,4,0,0,2,4,5,2,1,4,3,4,2,3,8,6,5,6,6,0,0,1,3,1,0,2,1,7,1,0,2,0,3,4,1,0,0,1,2,0,1,1,0,2,2,0,1,0,0,0,0,1,3,0,2,1,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,1,0,1,1,1,1,1,1,2,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,2
map,aleppo,1.0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,1,3,1,1,2,0,1,0,2,0,0,0,0
map,alexandria,1.0.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,10,3,4,2,1,0,0,1,1,0,0,2,3,0
map,alicante,1.0.0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,2,2,5,2,2,2,0,2,5,5,1,1,2,1,3,1,3,2,3,1,1,1,0,0,0,0,0,2,0,1,0,0,2,0,1,2,1,1,0
map,amba,v0.1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
map,amba,v0.2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
map,amba,v0.2.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
