snapshot_date,total_downloads,maps,mods,total_downloads_signed,maps_signed,mods_signed,total_downloads_clamped,maps_clamped,mods_clamped,cumulative_total,cumulative_maps,cumulative_mods,total_new_assets,new_maps,new_mods,cumulative_assets,cumulative_maps_assets,cumulative_mods_assets,total_new_assets_versions,new_maps_versions,new_mods_versions,cumulative_asset_versions,cumulative_maps_versions,cumulative_mods_versions
2026_03_11,2774,2350,424,2774,2350,424,2774,2350,424,2774,2350,424,62,57,5,62,57,5,63,60,3,63,60,3
2026_03_12,297,222,75,297,222,75,297,222,75,3071,2572,499,0,0,0,62,57,5,2,2,0,65,62,3
2026_03_13,355,240,115,348,233,115,355,240,115,3426,2812,614,2,1,1,64,58,6,2,2,0,67,64,3
2026_03_14,381,278,103,-122,-225,103,381,278,103,3807,3090,717,4,3,1,68,61,7,4,2,2,71,66,5
2026_03_15,617,494,123,1126,1003,123,617,494,123,4424,3584,840,6,6,0,74,67,7,23,20,3,94,86,8
2026_03_16,303,173,130,295,165,130,303,173,130,4727,3757,970,0,0,0,74,67,7,2,0,2,96,86,10
2026_03_17,372,179,193,368,175,193,372,179,193,5099,3936,1163,4,4,0,78,71,7,6,4,2,102,90,12
2026_03_18,551,424,127,558,431,127,551,424,127,5650,4360,1290,4,4,0,82,75,7,10,10,0,112,100,12
2026_03_19,386,265,121,392,271,121,386,265,121,6036,4625,1411,3,1,2,85,76,9,5,1,4,117,101,16
2026_03_20,399,187,212,346,134,212,399,187,212,6435,4812,1623,0,0,0,85,76,9,6,3,3,123,104,19
2026_03_21,555,349,206,589,383,206,555,349,206,6990,5161,1829,1,1,0,86,77,9,2,2,0,125,106,19
2026_03_22,388,208,180,380,200,180,388,208,180,7378,5369,2009,1,1,0,87,78,9,3,2,1,128,108,20
2026_03_23,592,384,208,611,403,208,592,384,208,7970,5753,2217,4,4,0,91,82,9,25,22,3,153,130,23
2026_03_24,421,233,188,416,228,188,421,233,188,8391,5986,2405,2,2,0,93,84,9,5,2,3,158,132,26
2026_03_25,598,367,231,609,378,231,598,367,231,8989,6353,2636,0,0,0,93,84,9,2,2,0,160,134,26
2026_03_26,603,404,199,605,406,199,603,404,199,9592,6757,2835,1,1,0,94,85,9,3,2,1,163,136,27
2026_03_27,746,481,265,746,481,265,746,481,265,10338,7238,3100,0,0,0,94,85,9,2,0,2,165,136,29
2026_03_28,584,387,197,584,387,197,584,387,197,10922,7625,3297,3,3,0,97,88,9,6,6,0,171,142,29
2026_03_29,731,480,251,731,480,251,731,480,251,11653,8105,3548,0,0,0,97,88,9,2,0,2,173,142,31
2026_03_30,1418,956,462,1418,956,462,1418,956,462,13071,9061,4010,1,1,0,98,89,9,2,1,1,175,143,32
2026_03_31,1028,585,443,1028,585,443,1028,585,443,14099,9646,4453,2,1,1,100,90,10,2,1,1,177,144,33
2026_04_01,1394,1039,355,1394,1039,355,1394,1039,355,15493,10685,4808,6,6,0,106,96,10,12,11,1,189,155,34
2026_04_02,839,599,240,839,599,240,839,599,240,16332,11284,5048,2,1,1,108,97,11,3,2,1,192,157,35
2026_04_03,748,502,246,748,502,246,748,502,246,17080,11786,5294,0,0,0,108,97,11,1,0,1,193,157,36
2026_04_04,798,535,263,798,535,263,798,535,263,17878,12321,5557,4,4,0,112,101,11,3,3,0,196,160,36
