rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,total_downloads,adjusted_total_downloads,caretaken_asset_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,117,116,1,50278,50278,0
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,6665,6665,0
3,rslurry,slurry,https://github.com/rslurry,35,33,2,21853,21853,0
4,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,9521,9521,0
5,kimth9,kimth9,https://github.com/kimth9,20,19,1,8535,8535,0
6,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,19,17,2,13148,13148,0
7,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,3841,3841,0
8,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,10315,10315,0
9,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,1774,1774,0
10,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,13040,13040,0
11,nzh0172,naz,https://github.com/nzh0172,8,5,3,6900,6900,0
12,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,14145,14145,0
13,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,4372,4372,0
14,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,1732,1732,0
15,BarKuperman,BarKuperman,https://github.com/BarKuperman,5,2,3,8713,8713,9
16,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,6568,6568,0
17,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,3904,3904,0
18,martig7,martig7,https://github.com/martig7,2,0,2,9882,9882,0
19,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,2461,2461,0
20,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,1495,1495,0
21,IMB11,IMB11,https://github.com/IMB11,2,0,2,1288,1288,0
22,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,1022,1022,0
23,bean1322,bean1322,https://github.com/bean1322,2,2,0,199,199,0
24,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,2,0,2,74,74,0
25,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,14278,14278,0
26,jelegend,jelegend,https://github.com/jelegend,1,1,0,3754,3754,0
27,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,3663,3663,0
28,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,2759,2759,0
29,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,2576,2576,0
30,pendulating,pendulating,https://github.com/pendulating,1,0,1,2121,2121,0
31,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,1869,1869,0
32,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,1334,1334,0
33,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,1122,1122,0
34,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,871,871,0
35,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,439,439,0
36,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,379,379,0
37,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,360,360,0
38,cromstar,cromstar,https://github.com/cromstar,1,1,0,348,348,0
39,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,313,313,0
40,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,290,290,0
41,arniber21,arniber21,https://github.com/arniber21,1,0,1,238,238,0
42,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,236,236,0
43,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,212,212,0
44,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,201,201,0
45,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,176,176,0
46,giannons46,giannons46,https://github.com/giannons46,1,1,0,165,165,0
47,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,165,165,0
48,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,147,147,0
49,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,143,143,0
50,hernang87,hernang87,https://github.com/hernang87,1,1,0,140,140,0
51,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,116,116,0
52,JcPires,JcPires,https://github.com/JcPires,1,1,0,91,91,1
53,matematysek,matematysek,https://github.com/matematysek,1,0,1,23,23,0
54,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,0,0,0,0,0,1
55,devenperez,devenperez,https://github.com/devenperez,0,0,0,0,0,8
