author,author_alias,attribution_link,asset_count,map_count,mod_count,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31,2026_04_01
ahkimn,Yukina-,https://github.com/ahkimn,22,21,1,3233,522,92,82,71,223,167,100,120,156,86,134,130,167,180,249,196,164,122,21,101,67,83
devenperez,devenperez,https://github.com/devenperez,8,8,0,2624,1278,54,56,55,116,38,63,86,94,72,99,91,96,85,118,73,55,49,0,0,22,24
stefanorigano,stefanorigano,https://github.com/stefanorigano,1,0,1,1579,233,42,63,55,37,44,72,44,39,53,49,46,52,43,65,51,68,65,0,137,157,164
Valdotorium,Valdotorium,https://github.com/Valdotorium,5,4,1,1510,0,0,0,0,3,18,49,53,49,59,60,51,64,63,80,108,136,125,79,191,171,151
rslurry,rslurry,https://github.com/rslurry,16,16,0,1371,103,22,15,62,100,44,64,46,67,77,107,89,104,59,98,88,78,35,0,36,38,39
crumpetime,crumpetime,https://github.com/crumpetime,6,5,1,1220,77,13,30,51,82,52,57,52,50,50,87,84,73,50,82,73,67,44,0,52,53,41
Maximilian284,Maximilian284,https://github.com/Maximilian284,18,18,0,1075,57,18,7,25,30,11,9,249,66,20,45,35,48,36,74,93,51,19,0,1,24,157
Kronifer,Kronifer,https://github.com/Kronifer,4,4,0,965,226,20,33,30,34,20,21,25,37,17,42,35,42,22,41,48,99,63,33,24,37,16
BarKuperman,BarKuperman,https://github.com/BarKuperman,3,2,1,712,151,19,38,30,33,19,32,24,34,29,50,27,33,21,39,28,27,16,0,21,23,18
DanielD1909,DanielD1909,https://github.com/DanielD1909,2,1,1,706,0,0,0,10,45,39,46,50,54,50,46,53,50,44,56,60,70,33,0,0,0,0
Gio1112,Gio1112,https://github.com/Gio1112,1,0,1,565,0,0,0,0,0,10,18,16,8,21,31,27,24,34,19,33,45,50,24,70,68,67
soccerjonj,soccerjonj,https://github.com/soccerjonj,6,6,0,505,64,9,8,25,24,12,24,36,39,18,49,37,48,16,40,29,22,5,0,0,0,0
ryandicicco,ryandicicco,https://github.com/ryandicicco,5,5,0,492,63,8,23,25,28,10,10,14,15,18,18,10,22,17,50,26,27,23,5,18,28,34
nzh0172,nzh0172,https://github.com/nzh0172,2,1,1,355,0,0,0,0,0,0,0,1,11,22,24,17,30,22,28,26,43,34,0,31,45,21
TransitCore,TransitCore,https://github.com/TransitCore,1,0,1,200,0,0,0,0,0,0,0,0,4,10,9,5,15,19,33,13,23,15,0,0,23,31
WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,174,0,0,0,0,0,0,0,0,0,0,0,9,28,17,19,26,24,20,0,12,15,4
PSWBSF,PSWBSF,https://github.com/PSWBSF,3,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,11,13,16
metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
