rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,25186,25186,89,88,1
2,rslurry,slurry,https://github.com/rslurry,17776,17776,35,33,2
3,stefanorigano,Steno,https://github.com/stefanorigano,10928,10928,1,0,1
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,9445,9445,7,4,3
5,crumpetime,muffintime,https://github.com/crumpetime,9259,9259,9,8,1
6,devenperez,devenperez,https://github.com/devenperez,8368,8368,8,8,0
7,kimth9,kimth9,https://github.com/kimth9,7811,7811,20,19,1
8,Kronifer,Kronifer,https://github.com/Kronifer,7609,7609,9,9,0
9,Maximilian284,max02,https://github.com/Maximilian284,7073,7073,19,19,0
10,martig7,martig7,https://github.com/martig7,6027,6027,2,0,2
11,nzh0172,naz,https://github.com/nzh0172,5341,5341,8,5,3
12,BarKuperman,BarKuperman,https://github.com/BarKuperman,5336,5336,4,2,2
13,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,4707,4707,5,0,5
14,ryandicicco,ryandicicco,https://github.com/ryandicicco,3452,3452,7,7,0
15,jelegend,jelegend,https://github.com/jelegend,3158,3158,1,1,0
16,Bobby-047,Bobby-047,https://github.com/Bobby-047,2970,2970,1,0,1
17,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,2760,2760,13,10,3
18,DanielD1909,DanielD1909,https://github.com/DanielD1909,2696,2696,3,1,2
19,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,2391,2391,1,0,1
20,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,2174,2174,1,0,1
21,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1842,1842,10,10,0
22,pierreggt,pierreggt,https://github.com/pierreggt,1614,1614,14,14,0
23,Mpfk,Mpfk,https://github.com/Mpfk,1489,1489,1,0,1
24,soccerjonj,soccerjonj,https://github.com/soccerjonj,1349,1349,7,7,0
25,TransitCore,TransitCore,https://github.com/TransitCore,1243,1243,2,0,2
26,WillBarouch,WillBarouch,https://github.com/WillBarouch,1094,1094,1,1,0
27,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,844,844,2,0,2
28,bquelhas,bquelhas,https://github.com/bquelhas,731,731,1,1,0
29,IMB11,IMB11,https://github.com/IMB11,664,664,2,0,2
30,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,605,605,1,1,0
31,pendulating,pendulating,https://github.com/pendulating,511,511,1,0,1
32,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,370,370,1,1,0
33,metatablestudios,metatablestudios,https://github.com/metatablestudios,292,292,1,1,0
34,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,248,248,1,1,0
35,rexmhall09,rexmhall09,https://github.com/rexmhall09,198,198,1,0,1
36,TathanDev,TathanDev,https://github.com/TathanDev,185,185,1,0,1
37,Phineapoo,Phineapoo,https://github.com/Phineapoo,110,110,1,1,0
38,bean1322,bean1322,https://github.com/bean1322,89,89,2,2,0
39,giannons46,giannons46,https://github.com/giannons46,78,78,1,1,0
40,hernang87,hernang87,https://github.com/hernang87,63,63,1,1,0
