rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,89,88,1,7032,7032,27021,27021,19989,19989,snapshot_2026_07_31.json,snapshot_2026_07_17.json
2,rslurry,slurry,https://github.com/rslurry,35,33,2,4433,4433,18586,18586,14153,14153,snapshot_2026_07_31.json,snapshot_2026_07_17.json
3,martig7,martig7,https://github.com/martig7,2,0,2,3206,3206,6713,6713,3507,3507,snapshot_2026_07_31.json,snapshot_2026_07_17.json
4,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,3019,3005,10010,9996,6991,6991,snapshot_2026_07_31.json,snapshot_2026_07_17.json
5,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,2849,2845,10427,10423,7578,7578,snapshot_2026_07_31.json,snapshot_2026_07_17.json
6,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,2784,2784,11463,11463,8679,8679,snapshot_2026_07_31.json,snapshot_2026_07_17.json
7,devenperez,devenperez,https://github.com/devenperez,8,8,0,2227,2227,8980,8980,6753,6753,snapshot_2026_07_31.json,snapshot_2026_07_17.json
8,pierreggt,pierreggt,https://github.com/pierreggt,14,14,0,1993,1993,2044,2044,51,51,snapshot_2026_07_31.json,snapshot_2026_07_17.json
9,Maximilian284,max02,https://github.com/Maximilian284,19,19,0,1978,1978,7580,7580,5602,5602,snapshot_2026_07_31.json,snapshot_2026_07_17.json
10,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,1747,1747,4953,4953,3206,3206,snapshot_2026_07_31.json,snapshot_2026_07_17.json
11,BarKuperman,BarKuperman,https://github.com/BarKuperman,4,2,2,1512,1509,5704,5701,4192,4192,snapshot_2026_07_31.json,snapshot_2026_07_17.json
12,Kronifer,Kronifer,https://github.com/Kronifer,9,9,0,1461,1457,8017,8013,6556,6556,snapshot_2026_07_31.json,snapshot_2026_07_17.json
13,nzh0172,naz,https://github.com/nzh0172,8,5,3,1147,1140,5509,5502,4362,4362,snapshot_2026_07_31.json,snapshot_2026_07_17.json
14,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,1109,1109,1140,1140,31,31,snapshot_2026_07_31.json,snapshot_2026_07_17.json
15,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,1016,1016,3641,3641,2625,2625,snapshot_2026_07_31.json,snapshot_2026_07_17.json
