listing_type,listing_id,version,credited_author_id
map,akron-oh,v1.0.0,bean1322
map,albany,1.0.0,soccerjonj
map,alicante,1.0.0,Maximilian284
map,amba,v0.1.0,hernang87
map,amba,v0.2.0,hernang87
map,amba,v0.2.1,hernang87
map,amba,v0.2.2,hernang87
map,amba,v0.2.3,hernang87
map,amba,v0.2.4,hernang87
map,amba,v0.2.5,hernang87
map,amba,v0.3.0,hernang87
map,amsterdam,1.0.0,ryandicicco
map,amsterdam,1.2.0,ryandicicco
map,amsterdam,1.2.1,ryandicicco
map,anchorage-ak,1.0.0,PSWBSF
map,ankara,v1.0.0,pierreggt
map,antalya,v1.0.0,pierreggt
map,arequipa,1.0.0,kaicardenas0618
map,au-adelaide,1.0.0,BarKuperman
map,au-brisbane,1.0.0,BarKuperman
map,au-canberra,1.0.0,BarKuperman
map,au-melbourne,1.0.0,BarKuperman
map,au-perth,1.0.0,BarKuperman
map,au-syd2,1.0.0,BarKuperman
map,baltimore-dc-corridor,1.1.1,rslurry
map,baltimore-dc-corridor,1.2.0,rslurry
map,baltimore-dc-corridor,1.2.1,rslurry
map,bangkok,v1.0.0,nzh0172
map,barcelona,1.0.0,Maximilian284
map,barcelona,1.0.1,Maximilian284
map,barcelona,1.0.2,Maximilian284
map,barcelona,1.1.0,Maximilian284
map,bari,1.0.0,Maximilian284
map,bari,1.1.0,Maximilian284
map,beijing,1.0.0,Kronifer
map,beijing,1.1.0,Kronifer
map,bergen-stavanger-no,1.0.0,rslurry
map,bergen-stavanger-no,1.1.0,rslurry
map,berlin-val,1.0.0,Valdotorium
map,berlin-val,1.1.1,Valdotorium
map,bilbao,1.0.0,Maximilian284
map,bilbao,1.0.1,Maximilian284
map,bilbao,1.0.2,Maximilian284
map,bilbao,1.1.0,Maximilian284
map,bologna,1.0.0,Maximilian284
map,bologna,1.1.0,Maximilian284
map,bordeaux-arcachon-libourne,v1.4.0,pierreggt
map,brussels,v1.0.0,lexenygma
map,bucharest-medium,v1.1.1,metatablestudios
map,bucharest-medium,1.1.3,metatablestudios
map,buffalo-ny,1.0.0,PSWBSF
map,busan-3,0.1.0,kimth9
map,busan-3,0.1.1,kimth9
map,busan-3,0.2.0,kimth9
map,busan-4,0.1.0,kimth9
map,busan-4,0.1.1,kimth9
map,busan-4,0.2.0,kimth9
map,cairo,2.0.0,ryandicicco
map,cairo,2.0.1,ryandicicco
map,cairo,2.1.0,ryandicicco
map,cairo,2.2.0,ryandicicco
map,cairo,2.2.1,ryandicicco
map,calgary,1.0.1,devenperez
map,calgary,1.1.3,devenperez
map,calgary,2.0.1,devenperez
map,calgary,2.1.0,devenperez
map,cape-town,v1.0.1,worstboyinaustral1a
map,catania,1.0.0,Maximilian284
map,catania,1.1.0,Maximilian284
map,cdmx-core,1.0.0,rslurry
map,cdmx-core,1.1.0,rslurry
map,charleston-huntington-wv,1.0.0,PSWBSF
map,charleston-sc,1.0.0,PSWBSF
map,chiclayo,1.0.0,kaicardenas0618
map,chimbote,1.0.0,kaicardenas0618
map,chongqing,1.0.0,Kronifer
map,chongqing,1.1.0,Kronifer
map,ciudad-de-mexico,1.0.0,rslurry
map,ciudad-de-mexico,1.1.0,rslurry
map,ciudad-de-mexico,1.1.1,rslurry
map,ciudad-de-mexico,1.2.0,rslurry
map,ciudad-de-mexico,1.3.0,rslurry
map,ciudad-juarez-el-paso,1.0.0,rslurry
map,ciudad-juarez-el-paso,1.0.1,rslurry
map,ciudad-juarez-el-paso,1.0.2,rslurry
map,ciudad-juarez-el-paso,1.1.1,rslurry
map,colorado-ski-country,1.0.0,soccerjonj
map,connecticut-usa,1.0.0,PSWBSF
map,cusco,1.0.0,kaicardenas0618
map,daegu-3,0.1.0,kimth9
map,daegu-3,0.1.1,kimth9
map,daegu-3,0.2.0,kimth9
map,daegu-4,0.1.0,kimth9
map,daegu-4,0.1.1,kimth9
map,daegu-4,0.2.0,kimth9
map,daejeon-3,0.1.0,kimth9
map,daejeon-3,0.1.1,kimth9
map,daejeon-3,0.2.0,kimth9
map,daejeon-4,0.1.0,kimth9
map,daejeon-4,0.1.1,kimth9
map,daejeon-4,0.2.0,kimth9
map,dayton-oh,1.0.0,PSWBSF
map,dayton-oh,1.1.0,PSWBSF
map,daytonatti,1.0.0,soccerjonj
map,dubai,1.2.0,ryandicicco
map,dubai,1.2.1,ryandicicco
map,dublin,v1.0.0,Kronifer
map,dublin,v1.1.0,Kronifer
map,edmonton,1.0.1,devenperez
map,edmonton,1.1.3,devenperez
map,edmonton,2.0.1,devenperez
map,edmonton,2.1.0,devenperez
map,florence,1.0.0,Maximilian284
map,florence,1.1.0,Maximilian284
map,garda-lake,1.0.0,Maximilian284
map,garda-lake,1.1.0,Maximilian284
map,genoa,1.0.0,Maximilian284
map,genoa,1.1.0,Maximilian284
map,glasgow-edinburgh,v1.0.0,Kronifer
map,greater-baltimore,1.1.0,rslurry
map,greater-baltimore,1.2.0,rslurry
map,greater-chicagoland,v1.0.0,NerdieSanders
map,greater-chicagoland,v1.0.1,NerdieSanders
map,greater-chicagoland,v1.2.0,NerdieSanders
map,greater-chicagoland,v1.3.0,NerdieSanders
map,greater-chicagoland,v1.4.1,NerdieSanders
map,greater-kuala-lumpur,v1.0.0,nzh0172
map,greater-kuala-lumpur,v1.1.0,nzh0172
map,greater-los-angeles,1.0.1,rslurry
map,greater-los-angeles,1.1.0,rslurry
map,greater-los-angeles,1.1.1,rslurry
map,greater-los-angeles,1.1.2,rslurry
map,greater-los-angeles,1.2.0,rslurry
map,greater-los-angeles,1.3.1,rslurry
map,greater-newyork,v1.0.1,chasemanning040911-afk
map,greater-newyork,v1.0.2,chasemanning040911-afk
map,greater-portland,1.0.0,rslurry
map,greater-portland,1.1.0,rslurry
map,greatertwincities,v1.0.0,DanielD1909
map,greatertwincities,v2.0.1,DanielD1909
map,guadalajara,1.0.0,rslurry
map,guadalajara,1.0.1,rslurry
map,guadalajara,1.1.0,rslurry
map,guadalajara,1.1.1,rslurry
map,guadalajara,1.1.2,rslurry
map,guadalajara,1.2.0,rslurry
map,guadalajara,1.3.1,rslurry
map,guangzhou,1.0.0,Kronifer
map,guangzhou,1.1.0,Kronifer
map,guangzhou,1.2.0,Kronifer
map,guangzhou,1.3.0,Kronifer
map,gwangju-3,0.1.0,kimth9
map,gwangju-3,0.1.1,kimth9
map,gwangju-3,0.2.0,kimth9
map,gwangju-4,0.1.0,kimth9
map,gwangju-4,0.1.1,kimth9
map,gwangju-4,0.2.0,kimth9
map,helsinki,1.0.0,rslurry
map,helsinki,1.1.0,rslurry
map,helsinki,1.1.1,rslurry
map,helsinki,1.2.0,rslurry
map,helsinki,1.3.0,rslurry
map,helsinki,1.3.1,rslurry
map,huancayo-jauja,1.0.0,kaicardenas0618
map,ile-de-france,1.0.2,JcPires
map,incheon-3,0.1.0,kimth9
map,incheon-3,0.1.1,kimth9
map,incheon-3,0.2.0,kimth9
map,incheon-4,0.1.0,kimth9
map,incheon-4,0.1.1,kimth9
map,incheon-4,0.2.0,kimth9
map,ipoh,1.0.0,nzh0172
map,iquitos,1.0.0,kaicardenas0618
map,istanbul,v1.0.0,pierreggt
map,jacksonville,1.0.0,rslurry
map,jacksonville,1.1.0,rslurry
map,jeju-3,0.1.0,kimth9
map,jeju-3,0.1.1,kimth9
map,jeju-3,0.2.0,kimth9
map,jeju-4,0.1.0,kimth9
map,jeju-4,0.1.1,kimth9
map,jeju-4,0.2.0,kimth9
map,jeju-f,0.1.0,kimth9
map,jeju-f,0.1.1,kimth9
map,jeju-f,0.2.0,kimth9
map,jelegend-tokyo,v0.1.0,jelegend
map,jelegend-tokyo,v0.3.0,jelegend
map,jelegend-tokyo,v0.4.0,jelegend
map,jelegend-tokyo,v0.5.0,jelegend
map,jelegend-tokyo,v0.6.0,jelegend
map,jelegend-tokyo,v0.7.0,jelegend
map,jerusalem,v0.3.1,BarKuperman
map,jerusalem,v0.3.2,BarKuperman
map,johor-bahru,1.0.0,nzh0172
map,knoxville,1.1.1,rslurry
map,knoxville,1.2.0,rslurry
map,kristiansand-no,1.0.0,rslurry
map,kristiansand-no,1.1.0,rslurry
map,lille,v1.0.0,pierreggt
map,lima,1.0.0,kaicardenas0618
map,lima,1.0.1,kaicardenas0618
map,lima,1.1.0,kaicardenas0618
map,los-angeles-county,1.0.0,rslurry
map,los-angeles-county,1.1.0,rslurry
map,los-angeles-county,1.1.1,rslurry
map,los-angeles-county,1.2.0,rslurry
map,los-angeles-county,1.3.1,rslurry
map,louisville,1.0.0,soccerjonj
map,lyon,v1.0.0,pierreggt
map,lyon,v1.0.2,pierreggt
map,madrid,1.0.0,Maximilian284
map,madrid,1.0.1,Maximilian284
map,madrid,1.0.2,Maximilian284
map,madrid,1.1.0,Maximilian284
map,marseille,v1.0.0,pierreggt
map,marseille,v1.0.2,pierreggt
map,memphis,1.1.0,rslurry
map,memphis,1.2.0,rslurry
map,mexicali,1.0.0,rslurry
map,mexicali,1.1.1,rslurry
map,mfn-hamptonroads,1.4.1,crumpetime
map,mfn-hamptonroads,2.0.3,crumpetime
map,mfn-hong-kong,0.3.0,crumpetime
map,mfn-hong-kong,0.4.0,crumpetime
map,mfn-hong-kong,0.5.0,crumpetime
map,mfn-hong-kong,0.5.2,crumpetime
map,mfn-hong-kong,1.0.5,crumpetime
map,mfn-lasvegas,1.1.0,crumpetime
map,mfn-madisonwi,3.0.0,crumpetime
map,mfn-msy,1.0.0,crumpetime
map,mfn-northwestar,1.0.0,crumpetime
map,mfn-rdu,1.0.0,crumpetime
map,mfn-rsw,2.0.0,crumpetime
map,milan,1.0.0,Maximilian284
map,milan,1.1.0,Maximilian284
map,mississippi,1.1.1,JayToTheAy
map,monterrey,1.0.0,rslurry
map,monterrey,1.0.1,rslurry
map,monterrey,1.1.0,rslurry
map,monterrey,1.1.1,rslurry
map,monterrey,1.1.2,rslurry
map,monterrey,1.1.3,rslurry
map,monterrey,1.2.0,rslurry
map,monterrey,1.3.1,rslurry
map,montpellier-mediterranee,v1.0.0,pierreggt
map,montreal,1.0.1,devenperez
map,montreal,1.1.3,devenperez
map,montreal,2.0.1,devenperez
map,montreal,2.1.0,devenperez
map,nantes,v1.0.0,pierreggt
map,naples,1.0.0,Maximilian284
map,naples,1.1.0,Maximilian284
map,nashville,2.0.0,soccerjonj
map,nice-cote-d-azur,v1.0.2,pierreggt
map,nz-auckland,1.0.0,BarKuperman
map,nz-christchurch,1.0.0,BarKuperman
map,nz-wellington,1.0.0,BarKuperman
map,oklahoma-city,1.0.0,ryandicicco
map,oklahoma-city,1.1.0,ryandicicco
map,oklahoma-city,1.1.1,ryandicicco
map,oklahoma-city,1.2.0,ryandicicco
map,opo-pt-metropolitan,v0.1.1,bquelhas
map,opo-pt-metropolitan,v0.2.0,bquelhas
map,opo-pt-metropolitan,v0.2.1,bquelhas
map,opo-pt-metropolitan,v0.3.0,Capitao-piolho
map,opo-pt-metropolitan,v0.4.2,Capitao-piolho
map,opo-pt-metropolitan,v0.4.3,Capitao-piolho
map,orange-county,1.0.3,rslurry
map,orange-county,1.1.0,rslurry
map,orlando,1.1.1,rslurry
map,orlando,1.2.0,rslurry
map,oslo-no,1.0.0,rslurry
map,oslo-no,1.1.0,rslurry
map,ottawa,1.0.1,devenperez
map,ottawa,1.1.3,devenperez
map,ottawa,2.0.2,devenperez
map,ottawa,2.1.0,devenperez
map,palermo,1.0.0,Maximilian284
map,palermo,1.1.0,Maximilian284
map,palma-de-mallorca,1.0.0,Maximilian284
map,paris-ile-de-france,v1.0.0,pierreggt
map,paris-ile-de-france,v1.0.5,pierreggt
map,pianura-emiliana,1.0.0,Maximilian284
map,pianura-emiliana,1.1.0,Maximilian284
map,pianura-veneta,1.0.0,Maximilian284
