rank,id,name,author,city_code,country,population,population_count,points_count
1,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,KUL,MY,6249021,41536,2337
2,yukina-osaka,大阪 (Ōsaka),ahkimn,ITM,JP,6242416,60329,13821
3,yukina-nagoya,名古屋 (Nagoya),ahkimn,NGO,JP,5912459,77505,30963
4,greater-los-angeles,Greater Los Angeles,rslurry,LAX,US,5496727,485829,7090
5,toronto,Toronto,devenperez,YYZ,CA,4039209,33646,11458
6,mfn-hong-kong,Hong Kong,crumpetime,HKG,HK,4038323,236084,1968
7,berlin-val,Berlin,Valdotorium,BER,DE,3926141,39805,923
8,singapore-val,Singapore,Valdotorium,SIN,SG,3529424,31692,1095
9,los-angeles-county,Los Angeles County,rslurry,LAXM,US,3179061,253472,4077
10,sydney,Sydney,WillBarouch,SYD,AU,3176499,25580,9687
11,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,GLED,GB,3069560,47377,12148
12,milan,Milan,Maximilian284,MIL,IT,2677197,23484,10146
13,montreal,Montreal,devenperez,YUL,CA,2523330,21051,8282
14,tel-aviv,Tel Aviv,BarKuperman,TLV,IL,2497200,12486,1301
15,zurich,Zurich,Kronifer,ZRH,CH,2147370,98878,39672
16,warsaw-val,Warsaw,Valdotorium,WAW,PL,2115324,19327,622
17,greatertwincities,Greater Twin Cities,DanielD1909,KMSP,US,2003945,304108,5866
18,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,DCA,US,2003362,145916,5548
19,rome,Rome,Maximilian284,ROM,IT,1920000,28808,10725
20,yukina-kyoto,京都 (Kyōto),ahkimn,UKY,JP,1844331,29565,9298
21,naples,Naples,Maximilian284,NAP,IT,1695981,21250,10998
22,vancouver,Vancouver,devenperez,YVR,CA,1677021,13943,5740
23,yukina-fukuoka,福岡 (Fukuoka),ahkimn,FUK,JP,1673777,23539,6057
24,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,SPK,JP,1536538,26512,9081
25,puerto-rico,Puerto Rico,rslurry,PR,PR,1434290,30194,8273
26,orange-county,Orange County,rslurry,OC,US,1429155,137792,2735
27,cairo,Cairo,ryandicicco,CAI,EG,1422928,8405,5210
28,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,UKB,JP,1405864,21853,6601
29,mfn-lasvegas,Las Vegas,crumpetime,LAS,US,1296870,79319,2373
30,orlando,Orlando,rslurry,MCO,US,1178384,100423,2364
31,pianura-veneta,Pianura Veneta,Maximilian284,VPT,IT,1165753,12448,8150
32,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,HIJ,JP,1053297,15726,4516
33,tampa-bay,Tampa Bay,rslurry,TPA,US,1041220,92488,3371
34,yukina-sendai,仙台 (Sendai),ahkimn,SDJ,JP,1016521,16010,5082
35,greater-baltimore,Greater Baltimore,rslurry,BWI,US,972032,75010,2920
36,garda-lake,Garda Lake,Maximilian284,GRD,IT,959863,12896,7994
37,yukina-okayama,岡山 (Okayama),ahkimn,OKJ,JP,948854,16352,6665
38,san-antonio,San Antonio,rslurry,SAT,US,946870,106855,4525
39,turin,Turin,Maximilian284,TOR,IT,910203,14127,5885
40,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,KKJ,JP,903453,18892,6035
41,calgary,Calgary,devenperez,YYC,CA,890139,7422,3571
