rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
1,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,TYO,JP,24049464,277098,30488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,yukina-tokyo,東京 (Tōkyō),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,HND,JP,23744038,314512,83157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,SZX,CN,20433861,254744,9626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,CAN,CN,15562720,220997,16773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,PEK,CN,14311785,209639,20382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,SHA,CN,13625076,231449,23686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,SEL4,KR,11769102,129417,4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,CDMX,MX,10969834,127012,19241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,seoul,Seoul,cromstar,cromstar,https://github.com/cromstar,SEL,KR,10452230,147975,15119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,yukina-keihanshin,京阪神 (Keihanshin),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KHS,JP,10201297,151024,41088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,SEL3,KR,9102941,100550,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,lima,Lima,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,LIM,PE,8999705,90875,14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,CKG,CN,8597215,150607,50748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,istanbul,Istanbul,pierreggt,pierreggt,https://github.com/pierreggt,IST,TR,8148850,78934,65040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,amba,Buenos Aires,hernang87,hernang87,https://github.com/hernang87,BUE,AR,7794695,92190,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,ile-de-france,Paris (IDF),JcPires,JcPires,https://github.com/JcPires,IDF,FR,7019451,202085,53694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,NGO,JP,6998121,128224,53735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,CDMC,MX,6752085,106735,8364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,ICN4,KR,6718676,88336,2533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ITM,JP,6548563,84565,19902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,KUL,MY,6249021,41536,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,TPE,TW,6079546,69921,12074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,BKK,TH,6033126,40981,13860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,paris-ile-de-france,Paris,pierreggt,pierreggt,https://github.com/pierreggt,PRS,FR,5758050,137837,26465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,LAX,US,5519727,171398,6976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,ESMD,ES,4801093,144717,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,ICN3,KR,4749878,65173,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,SFL,US,4627711,179115,16324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,GCHI,US,4499051,75825,14866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,SIN,SG,4204500,31692,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
