rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,10928,10928,snapshot_2026_07_27.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,5471,5471,snapshot_2026_07_27.json
3,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,3934,3934,snapshot_2026_07_27.json
4,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3847,3847,snapshot_2026_07_27.json
5,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,3467,3467,snapshot_2026_07_27.json
6,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,3332,3332,snapshot_2026_07_27.json
7,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,3158,3158,snapshot_2026_07_27.json
8,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,2970,2970,snapshot_2026_07_27.json
9,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,2473,2473,snapshot_2026_07_27.json
10,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,2416,2416,snapshot_2026_07_27.json
11,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,2397,2397,snapshot_2026_07_27.json
12,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,2391,2391,snapshot_2026_07_27.json
13,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,2382,2382,snapshot_2026_07_27.json
14,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,2332,2332,snapshot_2026_07_27.json
