listing_type,id,name,author,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30
mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano/advanced_analytics,advanced_analytics,1258,233,42,63,53,35,39,61,38,33,47,43,40,43,21,53,44,66,65,90,149
mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,valdotorium/valdotoriums_trains,Valdotoriums_Trains,755,0,0,0,0,1,16,18,13,8,29,24,23,35,35,46,71,93,91,105,147
map,toronto,Toronto,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,617,297,10,19,0,29,4,9,22,16,21,25,15,20,9,18,16,21,18,10,38
mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,danield1909/dantrains,danTrains,507,0,0,0,7,26,23,24,35,34,29,24,27,23,0,31,40,65,31,28,60
map,montreal,Montreal,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,437,227,9,15,0,22,4,6,13,11,11,14,7,10,10,17,11,8,9,2,31
mod,citymapper,Citymapper,Gio1112,gio1112/subway-builder-citymapper,subway-builder-citymapper,430,0,0,0,0,0,7,16,14,6,19,29,25,22,30,17,32,45,50,48,70
mod,distance-circles,Station Catchment Viewer,crumpetime,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,425,0,0,0,4,35,20,26,16,13,24,30,30,30,11,26,22,21,23,37,57
mod,subwaybuilder-regions,Regions,ahkimn,ahkimn/subwaybuilder-regions,subwaybuilder-regions,418,103,20,24,14,13,13,15,7,16,18,14,17,13,8,23,13,17,18,16,36
mod,transit-overlay,Transit Overlay,BarKuperman,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,384,88,13,28,15,15,7,17,6,14,25,24,10,11,9,15,9,15,14,13,36
map,vancouver,Vancouver,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,354,180,8,7,0,16,1,1,5,11,13,13,11,8,5,17,6,8,9,4,31
map,mfn-hong-kong,Hong Kong,crumpetime,crumpetime/sb-maps-hkg,sb-maps-hkg,322,74,9,24,17,9,3,2,10,10,9,19,15,12,5,12,13,23,11,15,30
map,zurich,Zurich,Kronifer,kronifer/sb-zurich-map,sb-zurich-map,275,102,9,9,5,7,5,2,7,7,0,11,7,8,0,9,16,17,11,11,32
map,yukina-kyoto,京都 (Kyōto),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,274,73,10,7,10,13,14,3,6,7,12,11,8,9,0,11,14,12,6,4,44
map,amsterdam,Amsterdam,ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,261,63,8,14,13,16,3,3,6,6,13,10,1,11,5,10,9,12,6,6,46
map,greater-los-angeles,Greater Los Angeles,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,257,0,0,0,9,19,12,18,3,10,24,11,8,13,10,14,17,19,17,24,29
map,dublin,Dublin,Kronifer,kronifer/sb-dublin-map,sb-dublin-map,239,91,8,14,11,8,2,0,3,9,3,8,6,10,0,9,12,13,11,4,17
mod,any-money,anyMoney,nzh0172,nzh0172/sb-anymoney,sb-anymoney,213,0,0,0,0,0,0,0,0,0,9,13,4,15,11,13,19,35,29,27,38
map,yukina-osaka,大阪 (Ōsaka),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,209,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22,47,37,26,55
map,ottawa,Ottawa,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,201,122,8,3,0,14,0,1,2,7,1,6,2,6,0,6,4,4,4,0,11
map,calgary,Calgary,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,198,128,6,2,0,14,0,0,1,4,0,2,3,6,0,8,4,4,2,0,14
map,edmonton,Edmonton,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,173,112,5,3,0,11,2,0,1,4,0,0,2,5,0,7,4,4,2,0,11
map,berlin-val,Berlin,Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,168,0,0,0,0,0,0,6,15,11,9,10,4,8,1,7,14,15,16,14,38
map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,165,43,6,4,2,10,9,0,5,5,5,7,1,4,1,10,7,7,4,0,35
map,quebec-city,Quebec City,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,164,106,4,5,0,11,0,0,2,4,0,0,0,3,1,7,5,2,5,0,9
map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,38,35,24
map,sydney,Sydney,WillBarouch,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,155,0,0,0,0,0,0,0,0,0,0,0,4,19,8,12,22,23,20,10,37
map,singapore-val,Singapore,Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,154,0,0,0,0,0,0,5,9,9,10,11,8,6,8,9,8,19,14,11,27
map,winnipeg,Winnipeg,devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,153,106,4,2,0,6,0,0,1,5,0,2,3,5,0,2,7,4,0,0,6
map,los-angeles-county,Los Angeles County,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,148,0,0,0,0,19,4,10,6,9,9,7,7,8,1,6,7,10,8,8,29
map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,148,40,8,7,5,10,12,1,4,5,0,3,2,4,0,7,6,9,3,0,22
mod,cinematic-camera,Cinematic Camera,TransitCore,transitcore/cinematic-camera,cinematic-camera,142,0,0,0,0,0,0,0,0,0,5,5,1,10,6,27,10,23,15,11,29
map,milan,Milan,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,139,0,0,0,0,0,0,0,76,3,2,2,0,6,1,5,11,10,6,1,16
map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,130,31,6,4,4,9,5,1,5,5,2,3,2,4,0,10,8,9,3,0,19
map,rome,Rome,Maximilian284,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,128,27,6,4,7,7,2,0,2,4,5,6,2,6,1,5,13,7,3,4,17
map,waterloo,Region of Waterloo,Kronifer,kronifer/sb-waterloo-map,sb-waterloo-map,122,33,3,10,2,7,1,3,3,6,2,9,2,9,0,5,9,5,3,0,10
map,yukina-okinawa,沖縄 (Okinawa),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,120,36,5,7,2,9,1,0,3,4,0,1,3,3,0,5,6,5,4,2,24
map,tel-aviv,Tel Aviv,BarKuperman,barkuperman/tlv-mod,TLV-mod,112,43,3,6,1,4,0,0,2,7,0,6,2,6,0,4,7,5,1,0,15
map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,109,32,3,4,3,9,4,1,5,4,2,4,0,2,0,2,5,6,5,0,18
map,mfn-madisonwi,Madison,crumpetime,crumpetime/sb-maps-msn,sb-maps-msn,104,0,0,0,1,12,9,7,6,8,3,11,10,5,0,7,5,6,5,0,9
map,yukina-sendai,仙台 (Sendai),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,93,27,6,4,2,14,2,0,0,3,0,3,0,2,0,0,7,6,1,0,16
map,greatertwincities,Greater Twin Cities,DanielD1909,danield1909/improvedtwincities,improvedTwinCities,92,0,0,0,0,9,8,7,5,6,5,8,7,7,3,5,6,5,2,0,9
map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,88,27,5,4,2,9,7,0,2,3,0,3,1,2,0,0,5,4,4,0,10
map,mfn-hamptonroads,Norfolk,crumpetime,crumpetime/sb-maps-orf,sb-maps-orf,85,0,0,2,9,10,4,3,6,4,2,9,6,7,1,5,5,6,0,0,6
map,yukina-matsuyama,松山 (Matsuyama),ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,85,20,4,3,4,8,1,0,0,5,0,0,2,20,0,1,4,4,1,0,8
map,jerusalem,Jerusalem,BarKuperman,barkuperman/jerusalem-sb-map,jerusalem-sb-map,81,20,3,4,4,4,2,1,5,3,0,5,2,5,0,4,6,5,1,0,7
map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,74,0,0,0,0,0,0,0,0,0,9,7,2,11,2,3,11,10,4,0,15
map,puerto-rico,Puerto Rico,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,74,0,0,0,0,0,0,0,0,0,0,12,2,10,0,9,11,6,4,1,19
map,tampa-bay,Tampa Bay,rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,74,14,3,2,4,3,3,4,3,5,3,6,1,5,1,3,1,3,0,0,10
map,providence,Providence,soccerjonj,soccerjonj/providence,Providence,72,11,2,3,4,8,1,1,2,4,3,5,5,6,0,5,3,3,2,0,4
map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,72,0,0,9,10,8,3,1,0,3,0,1,0,5,0,4,5,5,3,0,15
