rank,listing_type,id,name,author,download_change,current_total,baseline_total,latest_snapshot,baseline_snapshot
1,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,93,438,345,snapshot_2026_03_27.json,snapshot_2026_03_26.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,68,1056,988,snapshot_2026_03_27.json,snapshot_2026_03_26.json
3,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,65,563,498,snapshot_2026_03_27.json,snapshot_2026_03_26.json
4,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,63,66,3,snapshot_2026_03_27.json,snapshot_2026_03_26.json
5,map,yukina-osaka,大阪 (Ōsaka),ahkimn,47,101,54,snapshot_2026_03_27.json,snapshot_2026_03_26.json
6,mod,citymapper,Citymapper,Gio1112,45,286,241,snapshot_2026_03_27.json,snapshot_2026_03_26.json
7,mod,any-money,anyMoney,nzh0172,36,153,117,snapshot_2026_03_27.json,snapshot_2026_03_26.json
8,map,sydney,Sydney,WillBarouch,24,123,99,snapshot_2026_03_27.json,snapshot_2026_03_26.json
9,map,mfn-hong-kong,Hong Kong,crumpetime,23,324,301,snapshot_2026_03_27.json,snapshot_2026_03_26.json
10,mod,cinematic-camera,Cinematic Camera,TransitCore,23,131,108,snapshot_2026_03_27.json,snapshot_2026_03_26.json
11,map,toronto,Toronto,devenperez,21,607,586,snapshot_2026_03_27.json,snapshot_2026_03_26.json
12,mod,distance-circles,Station Catchment Viewer,crumpetime,21,351,330,snapshot_2026_03_27.json,snapshot_2026_03_26.json
13,map,greater-los-angeles,Greater Los Angeles,rslurry,19,216,197,snapshot_2026_03_27.json,snapshot_2026_03_26.json
14,map,singapore-val,Singapore,Valdotorium,19,125,106,snapshot_2026_03_27.json,snapshot_2026_03_26.json
15,mod,subwaybuilder-regions,Regions,ahkimn,17,376,359,snapshot_2026_03_27.json,snapshot_2026_03_26.json
16,map,zurich,Zurich,Kronifer,17,279,262,snapshot_2026_03_27.json,snapshot_2026_03_26.json
17,mod,transit-overlay,Transit Overlay,BarKuperman,15,349,334,snapshot_2026_03_27.json,snapshot_2026_03_26.json
18,map,berlin-val,Berlin,Valdotorium,15,123,108,snapshot_2026_03_27.json,snapshot_2026_03_26.json
19,map,dublin,Dublin,Kronifer,13,265,252,snapshot_2026_03_27.json,snapshot_2026_03_26.json
20,map,yukina-kyoto,京都 (Kyōto),ahkimn,12,284,272,snapshot_2026_03_27.json,snapshot_2026_03_26.json
21,map,amsterdam,Amsterdam,ryandicicco,12,253,241,snapshot_2026_03_27.json,snapshot_2026_03_26.json
22,map,milan,Milan,Maximilian284,10,137,127,snapshot_2026_03_27.json,snapshot_2026_03_26.json
23,map,los-angeles-county,Los Angeles County,rslurry,10,132,122,snapshot_2026_03_27.json,snapshot_2026_03_26.json
24,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,10,73,63,snapshot_2026_03_27.json,snapshot_2026_03_26.json
25,map,cairo,Cairo,ryandicicco,10,49,39,snapshot_2026_03_27.json,snapshot_2026_03_26.json
26,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,9,187,178,snapshot_2026_03_27.json,snapshot_2026_03_26.json
27,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,9,172,163,snapshot_2026_03_27.json,snapshot_2026_03_26.json
28,map,montreal,Montreal,devenperez,8,451,443,snapshot_2026_03_27.json,snapshot_2026_03_26.json
29,map,vancouver,Vancouver,devenperez,8,366,358,snapshot_2026_03_27.json,snapshot_2026_03_26.json
30,map,mfn-lasvegas,Las Vegas,crumpetime,8,46,38,snapshot_2026_03_27.json,snapshot_2026_03_26.json
