rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,651,651,876,876,225,225,snapshot_2026_03_31.json,snapshot_2026_03_24.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,543,543,1415,1415,872,872,snapshot_2026_03_31.json,snapshot_2026_03_24.json
3,mod,citymapper,Citymapper,Gio1112,Gio1112,https://github.com/Gio1112,309,309,498,498,189,189,snapshot_2026_03_31.json,snapshot_2026_03_24.json
4,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://github.com/ahkimn,221,221,240,240,19,19,snapshot_2026_03_31.json,snapshot_2026_03_24.json
5,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,198,158,594,554,396,396,snapshot_2026_03_31.json,snapshot_2026_03_24.json
6,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,190,190,190,190,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
7,mod,distance-circles,Station Catchment Viewer,crumpetime,crumpetime,https://github.com/crumpetime,188,188,464,464,276,276,snapshot_2026_03_31.json,snapshot_2026_03_24.json
8,mod,any-money,anyMoney,nzh0172,nzh0172,https://github.com/nzh0172,179,179,258,258,79,79,snapshot_2026_03_31.json,snapshot_2026_03_24.json
9,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://github.com/ahkimn,120,120,440,440,320,320,snapshot_2026_03_31.json,snapshot_2026_03_24.json
10,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,116,116,170,170,54,54,snapshot_2026_03_31.json,snapshot_2026_03_24.json
11,map,greater-los-angeles,Greater Los Angeles,rslurry,rslurry,https://github.com/rslurry,110,110,273,273,163,163,snapshot_2026_03_31.json,snapshot_2026_03_24.json
12,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,108,108,192,192,84,84,snapshot_2026_03_31.json,snapshot_2026_03_24.json
13,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,107,107,169,169,62,62,snapshot_2026_03_31.json,snapshot_2026_03_24.json
14,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,101,101,647,647,546,546,snapshot_2026_03_31.json,snapshot_2026_03_24.json
15,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,100,100,407,407,307,307,snapshot_2026_03_31.json,snapshot_2026_03_24.json
16,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,84,84,170,170,86,86,snapshot_2026_03_31.json,snapshot_2026_03_24.json
17,map,mfn-hong-kong,Hong Kong,crumpetime,crumpetime,https://github.com/crumpetime,74,74,342,342,268,268,snapshot_2026_03_31.json,snapshot_2026_03_24.json
18,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,67,67,298,298,231,231,snapshot_2026_03_31.json,snapshot_2026_03_24.json
19,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,66,66,282,282,216,216,snapshot_2026_03_31.json,snapshot_2026_03_24.json
20,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://github.com/ahkimn,65,65,65,65,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
21,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,59,59,59,59,0,0,snapshot_2026_03_31.json,snapshot_2026_03_24.json
22,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://github.com/ahkimn,53,52,290,289,237,237,snapshot_2026_03_31.json,snapshot_2026_03_24.json
23,map,los-angeles-county,Los Angeles County,rslurry,rslurry,https://github.com/rslurry,53,53,159,159,106,106,snapshot_2026_03_31.json,snapshot_2026_03_24.json
24,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,51,49,460,458,409,409,snapshot_2026_03_31.json,snapshot_2026_03_24.json
25,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,51,34,276,259,225,225,snapshot_2026_03_31.json,snapshot_2026_03_24.json
26,map,milan,Milan,Maximilian284,Maximilian284,https://github.com/Maximilian284,50,50,158,158,108,108,snapshot_2026_03_31.json,snapshot_2026_03_24.json
27,map,mfn-lasvegas,Las Vegas,crumpetime,crumpetime,https://github.com/crumpetime,49,49,59,59,10,10,snapshot_2026_03_31.json,snapshot_2026_03_24.json
28,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,46,41,375,370,329,329,snapshot_2026_03_31.json,snapshot_2026_03_24.json
29,map,puerto-rico,Puerto Rico,rslurry,rslurry,https://github.com/rslurry,45,45,82,82,37,37,snapshot_2026_03_31.json,snapshot_2026_03_24.json
30,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://github.com/ahkimn,40,4,175,139,135,135,snapshot_2026_03_31.json,snapshot_2026_03_24.json
