rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,59,3817,3817,18259,18259,14442,14442,snapshot_2026_09_06.json,snapshot_2026_08_23.json
2,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,1351,1351,22282,22282,20931,20931,snapshot_2026_09_06.json,snapshot_2026_08_23.json
3,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,1316,1316,3840,3840,2524,2524,snapshot_2026_09_06.json,snapshot_2026_08_23.json
4,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,955,955,955,955,0,0,snapshot_2026_09_06.json,snapshot_2026_08_23.json
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,487,487,10842,10842,10355,10355,snapshot_2026_09_06.json,snapshot_2026_08_23.json
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,464,464,19792,19792,19328,19328,snapshot_2026_09_06.json,snapshot_2026_08_23.json
7,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,423,423,1122,1122,699,699,snapshot_2026_09_06.json,snapshot_2026_08_23.json
8,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,398,398,4011,4011,3613,3613,snapshot_2026_09_06.json,snapshot_2026_08_23.json
9,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,391,391,6319,6319,5928,5928,snapshot_2026_09_06.json,snapshot_2026_08_23.json
10,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,388,388,8004,8004,7616,7616,snapshot_2026_09_06.json,snapshot_2026_08_23.json
11,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,380,380,5307,5307,4927,4927,snapshot_2026_09_06.json,snapshot_2026_08_23.json
12,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,358,358,5871,5871,5513,5513,snapshot_2026_09_06.json,snapshot_2026_08_23.json
13,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,353,353,4482,4482,4129,4129,snapshot_2026_09_06.json,snapshot_2026_08_23.json
14,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,349,349,2306,2306,1957,1957,snapshot_2026_09_06.json,snapshot_2026_08_23.json
15,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,338,338,1323,1323,985,985,snapshot_2026_09_06.json,snapshot_2026_08_23.json
16,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,322,322,5255,5255,4933,4933,snapshot_2026_09_06.json,snapshot_2026_08_23.json
17,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,309,309,4749,4749,4440,4440,snapshot_2026_09_06.json,snapshot_2026_08_23.json
18,rmerr1/sb-vienna-map,sb-vienna-map,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,307,307,439,439,132,132,snapshot_2026_09_06.json,snapshot_2026_08_23.json
19,pierreggt/subwaybuilder-maps,subwaybuilder-maps,pierreggt,pierreggt,https://github.com/pierreggt,16,299,299,638,638,339,339,snapshot_2026_09_06.json,snapshot_2026_08_23.json
20,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,289,289,5097,5097,4808,4808,snapshot_2026_09_06.json,snapshot_2026_08_23.json
21,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,280,280,715,715,435,435,snapshot_2026_09_06.json,snapshot_2026_08_23.json
22,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,260,260,2121,2121,1861,1861,snapshot_2026_09_06.json,snapshot_2026_08_23.json
23,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,238,238,3735,3735,3497,3497,snapshot_2026_09_06.json,snapshot_2026_08_23.json
24,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,186,186,3164,3164,2978,2978,snapshot_2026_09_06.json,snapshot_2026_08_23.json
25,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,185,185,2842,2842,2657,2657,snapshot_2026_09_06.json,snapshot_2026_08_23.json
26,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,178,178,4772,4772,4594,4594,snapshot_2026_09_06.json,snapshot_2026_08_23.json
27,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,174,174,2269,2269,2095,2095,snapshot_2026_09_06.json,snapshot_2026_08_23.json
28,prodigious-penguin/penguin-approved-rolling-stock,Penguin-Approved-Rolling-Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,169,169,201,201,32,32,snapshot_2026_09_06.json,snapshot_2026_08_23.json
29,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,168,168,3663,3663,3495,3495,snapshot_2026_09_06.json,snapshot_2026_08_23.json
30,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,159,159,2471,2471,2312,2312,snapshot_2026_09_06.json,snapshot_2026_08_23.json
