rank,project_key,project_name,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,21,833,836,1923,1923,1090,1087,snapshot_2026_03_30.json,snapshot_2026_03_23.json
2,valdotorium/valdotoriums_trains,Valdotoriums_Trains,1,588,588,755,755,167,167,snapshot_2026_03_30.json,snapshot_2026_03_23.json
3,stefanorigano/advanced_analytics,advanced_analytics,1,488,488,1258,1258,770,770,snapshot_2026_03_30.json,snapshot_2026_03_23.json
4,rslurry/subwaybuilder-maps,subwaybuilder-maps,16,439,439,1058,1058,619,619,snapshot_2026_03_30.json,snapshot_2026_03_23.json
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,8,435,435,2297,2297,1862,1862,snapshot_2026_03_30.json,snapshot_2026_03_23.json
6,gio1112/subway-builder-citymapper,subway-builder-citymapper,1,292,292,430,430,138,138,snapshot_2026_03_30.json,snapshot_2026_03_23.json
7,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,14,285,290,703,703,418,413,snapshot_2026_03_30.json,snapshot_2026_03_23.json
8,valdotorium/railyard-maps-2,Railyard-Maps-2,4,273,273,429,429,156,156,snapshot_2026_03_30.json,snapshot_2026_03_23.json
9,danield1909/dantrains,danTrains,1,255,255,507,507,252,252,snapshot_2026_03_30.json,snapshot_2026_03_23.json
10,ryandicicco/subway-builder-maps,Subway-Builder-Maps,4,210,210,417,417,207,207,snapshot_2026_03_30.json,snapshot_2026_03_23.json
11,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,1,197,197,425,425,228,228,snapshot_2026_03_30.json,snapshot_2026_03_23.json
12,nzh0172/sb-anymoney,sb-anymoney,1,172,172,213,213,41,41,snapshot_2026_03_30.json,snapshot_2026_03_23.json
13,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,1,161,161,161,161,0,0,snapshot_2026_03_30.json,snapshot_2026_03_23.json
14,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,1,132,132,155,155,23,23,snapshot_2026_03_30.json,snapshot_2026_03_23.json
15,ahkimn/subwaybuilder-regions,subwaybuilder-regions,1,131,131,418,418,287,287,snapshot_2026_03_30.json,snapshot_2026_03_23.json
16,transitcore/cinematic-camera,cinematic-camera,1,121,121,142,142,21,21,snapshot_2026_03_30.json,snapshot_2026_03_23.json
17,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,1,111,111,384,384,273,273,snapshot_2026_03_30.json,snapshot_2026_03_23.json
18,crumpetime/sb-maps-hkg,sb-maps-hkg,1,109,109,322,322,213,213,snapshot_2026_03_30.json,snapshot_2026_03_23.json
19,kronifer/sb-zurich-map,sb-zurich-map,1,96,96,275,275,179,179,snapshot_2026_03_30.json,snapshot_2026_03_23.json
20,kronifer/sb-dublin-map,sb-dublin-map,1,66,66,239,239,173,173,snapshot_2026_03_30.json,snapshot_2026_03_23.json
21,crumpetime/sb-maps-las,sb-maps-las,1,52,52,52,52,0,0,snapshot_2026_03_30.json,snapshot_2026_03_23.json
22,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,1,34,34,66,66,32,32,snapshot_2026_03_30.json,snapshot_2026_03_23.json
23,kronifer/sb-waterloo-map,sb-waterloo-map,1,32,32,122,122,90,90,snapshot_2026_03_30.json,snapshot_2026_03_23.json
24,barkuperman/tlv-mod,TLV-mod,1,32,32,112,112,80,80,snapshot_2026_03_30.json,snapshot_2026_03_23.json
25,crumpetime/sb-maps-msn,sb-maps-msn,1,32,32,104,104,72,72,snapshot_2026_03_30.json,snapshot_2026_03_23.json
26,danield1909/improvedtwincities,improvedTwinCities,1,30,30,92,92,62,62,snapshot_2026_03_30.json,snapshot_2026_03_23.json
27,crumpetime/sb-maps-orf,sb-maps-orf,1,23,23,85,85,62,62,snapshot_2026_03_30.json,snapshot_2026_03_23.json
28,barkuperman/jerusalem-sb-map,jerusalem-sb-map,1,23,23,81,81,58,58,snapshot_2026_03_30.json,snapshot_2026_03_23.json
29,pswbsf/piedmont-triad,piedmont-triad,1,21,21,21,21,0,0,snapshot_2026_03_30.json,snapshot_2026_03_23.json
30,soccerjonj/providence,Providence,1,17,17,72,72,55,55,snapshot_2026_03_30.json,snapshot_2026_03_23.json
31,soccerjonj/sacramento,Sacramento,1,17,17,58,58,41,41,snapshot_2026_03_30.json,snapshot_2026_03_23.json
32,soccerjonj/nashville,Nashville,1,17,17,50,50,33,33,snapshot_2026_03_30.json,snapshot_2026_03_23.json
33,soccerjonj/colorado-ski-country,Colorado-Ski-Country,1,15,15,71,71,56,56,snapshot_2026_03_30.json,snapshot_2026_03_23.json
34,soccerjonj/albany,Albany,1,15,15,53,53,38,38,snapshot_2026_03_30.json,snapshot_2026_03_23.json
35,soccerjonj/louisville,Louisville,1,13,13,59,59,46,46,snapshot_2026_03_30.json,snapshot_2026_03_23.json
36,crumpetime/sb-maps-xna,sb-maps-xna,1,13,13,55,55,42,42,snapshot_2026_03_30.json,snapshot_2026_03_23.json
37,pswbsf/wilmington-nc,wilmington-nc,1,0,0,0,0,0,0,snapshot_2026_03_30.json,snapshot_2026_03_23.json
